evidence_id,metric_family,metric_label,metric_type,source_file,source_type,logic_found,table_or_field,filter_or_context,date_basis,owner_mentioned,confidence
E001,revenue,recognised revenue,recognised_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\board_pack.md,md,"ustomers. Revenue is reported from the monthly finance close. The pack does not currently specify whether Revenue means recognised revenue, billed revenue, collected revenue, gross revenue or net revenue. June Revenue: 10.2M July Revenue: 10.6M",,"ustomers. Revenue is reported from the monthly finance close. The pack does not currently specify whether Revenue means recognised revenue, billed revenue, collected revenue, gross revenue or net revenue. June Revenue: 10.2M July Revenue: 10.6M",month,Finance,low
E002,revenue,gross revenue,gross_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\board_pack.md,md,"close. The pack does not currently specify whether Revenue means recognised revenue, billed revenue, collected revenue, gross revenue or net revenue. June Revenue: 10.2M July Revenue: 10.6M",,"close. The pack does not currently specify whether Revenue means recognised revenue, billed revenue, collected revenue, gross revenue or net revenue. June Revenue: 10.2M July Revenue: 10.6M",month,Finance,low
E003,revenue,net revenue,net_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\board_pack.md,md,"oes not currently specify whether Revenue means recognised revenue, billed revenue, collected revenue, gross revenue or net revenue. June Revenue: 10.2M July Revenue: 10.6M",,"oes not currently specify whether Revenue means recognised revenue, billed revenue, collected revenue, gross revenue or net revenue. June Revenue: 10.2M July Revenue: 10.6M",month,Finance,low
E004,revenue,Revenue,ambiguous_generic,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\board_pack.md,md,"# Q3 Board Pack Metrics Audience: Board and ELT Owner mentioned: Finance The Board Pack shows Revenue, Gross Margin and Active Customers. Revenue is reported from the monthly finance close. The pack does not currently specify whether Revenue means recognised revenue, billed revenue, collected revenue, gross revenue or net revenue.",,"# Q3 Board Pack Metrics Audience: Board and ELT Owner mentioned: Finance The Board Pack shows Revenue, Gross Margin and Active Customers. Revenue is reported from the monthly finance close. The pack does not currently specify whether Revenue means recognised revenue, billed revenue, collected revenue, gross revenue or net revenue.",month,Finance,low
E005,revenue,recognised revenue,recognised_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\finance_export.csv,csv,Detected from CSV header,Recognised Revenue,Month | Gross Revenue | Refunds | Credits | Net Revenue | Recognised Revenue,month,,low
E006,revenue,gross revenue,gross_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\finance_export.csv,csv,Detected from CSV header,Gross Revenue,Month | Gross Revenue | Refunds | Credits | Net Revenue | Recognised Revenue,month,,low
E007,revenue,net revenue,net_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\finance_export.csv,csv,Detected from CSV header,Refunds; Credits; Net Revenue,Month | Gross Revenue | Refunds | Credits | Net Revenue | Recognised Revenue,month,,low
E008,revenue,refunds,net_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\finance_export.csv,csv,Detected from CSV header,Refunds; Credits; Net Revenue,Month | Gross Revenue | Refunds | Credits | Net Revenue | Recognised Revenue,month,,low
E009,revenue,credits,net_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\finance_export.csv,csv,Detected from CSV header,Refunds; Credits; Net Revenue,Month | Gross Revenue | Refunds | Credits | Net Revenue | Recognised Revenue,month,,low
E010,revenue,Revenue,ambiguous_generic,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\finance_export.csv,csv,Detected from CSV header,Gross Revenue; Net Revenue; Recognised Revenue,Month | Gross Revenue | Refunds | Credits | Net Revenue | Recognised Revenue,month,,low
E011,revenue,pipeline revenue,pipeline_value,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\marketing_pipeline.sql,sql,month; pipeline_revenue; weighted_pipeline,mart.marketing_sourced_pipeline,"opportunity_stage in ('Open', 'Qualified', 'Proposal')",month; date,,medium
E012,revenue,weighted pipeline,pipeline_value,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\marketing_pipeline.sql,sql,month; pipeline_revenue; weighted_pipeline,mart.marketing_sourced_pipeline,"opportunity_stage in ('Open', 'Qualified', 'Proposal')",month; date,,medium
E013,revenue,Revenue,ambiguous_generic,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\marketing_pipeline.sql,sql,month; pipeline_revenue; weighted_pipeline,mart.marketing_sourced_pipeline,"opportunity_stage in ('Open', 'Qualified', 'Proposal')",month; date,,medium
E014,revenue,closed won,booked_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\sales_dashboard.sql,sql,month; revenue; closed_won_deals,crm.opportunities,stage = 'Closed Won' and is_cancelled = false,month; date,Sales Ops,medium
E015,revenue,closed-won,booked_revenue,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\sales_dashboard.sql,sql,month; revenue; closed_won_deals,crm.opportunities,stage = 'Closed Won' and is_cancelled = false,month; date,Sales Ops,medium
E016,revenue,Revenue,ambiguous_generic,C:\Users\chloe\SandboxProjects\metric-governance-agent-v0.1\examples\revenue\evidence\sales_dashboard.sql,sql,month; revenue; closed_won_deals,crm.opportunities,stage = 'Closed Won' and is_cancelled = false,month; date,Sales Ops,medium
